Year,Inputs,Observation status,Unit multiplier,Unit measure,Value
1973,Labour inputs,Normal value,Units,Index,100
1974,Labour inputs,Normal value,Units,Index,98.2770625
1975,Labour inputs,Normal value,Units,Index,96.59201676
1976,Labour inputs,Normal value,Units,Index,94.71298889
1977,Labour inputs,Normal value,Units,Index,93.03828916
1978,Labour inputs,Normal value,Units,Index,91.927482510000004
1979,Labour inputs,Normal value,Units,Index,90.32055031
1980,Labour inputs,Normal value,Units,Index,88.12843172
1981,Labour inputs,Normal value,Units,Index,86.33810483
1982,Labour inputs,Normal value,Units,Index,85.21754648
1983,Labour inputs,Normal value,Units,Index,84.29851086
1984,Labour inputs,Normal value,Units,Index,83.29883135
1985,Labour inputs,Normal value,Units,Index,82.27276725
1986,Labour inputs,Normal value,Units,Index,80.90954559
1987,Labour inputs,Normal value,Units,Index,79.35118931
1988,Labour inputs,Normal value,Units,Index,77.58195385
1989,Labour inputs,Normal value,Units,Index,75.91554321
1990,Labour inputs,Normal value,Units,Index,74.26436238
1991,Labour inputs,Normal value,Units,Index,72.95060027
1992,Labour inputs,Normal value,Units,Index,71.76756082
1993,Labour inputs,Normal value,Units,Index,70.56724786
1994,Labour inputs,Normal value,Units,Index,69.2082993
1995,Labour inputs,Normal value,Units,Index,67.70423118
1996,Labour inputs,Normal value,Units,Index,66.59373277
1997,Labour inputs,Normal value,Units,Index,65.5360672
1998,Labour inputs,Normal value,Units,Index,63.98622899
1999,Labour inputs,Normal value,Units,Index,61.60654543
2000,Labour inputs,Normal value,Units,Index,59.08071379
2001,Labour inputs,Normal value,Units,Index,57.30809906
2002,Labour inputs,Normal value,Units,Index,55.69831817
2003,Labour inputs,Normal value,Units,Index,54.07845005
2004,Labour inputs,Normal value,Units,Index,53.22804323
2005,Labour inputs,Normal value,Units,Index,52.63119212
2006,Labour inputs,Normal value,Units,Index,51.87509042
2007,Labour inputs,Normal value,Units,Index,51.51159948
2008,Labour inputs,Normal value,Units,Index,51.28189535
2009,Labour inputs,Normal value,Units,Index,50.52835846
2010,Labour inputs,Normal value,Units,Index,50.29695648
2011,Labour inputs,Normal value,Units,Index,51.08507419
2012,Labour inputs,Normal value,Units,Index,51.10346674
2013,Labour inputs,Normal value,Units,Index,50.70132495
2014,Labour inputs,Normal value,Units,Index,50.77453037
2015,Labour inputs,Normal value,Units,Index,51.02814983
2016,Labour inputs,Normal value,Units,Index,50.71473751
2017,Labour inputs,Normal value,Units,Index,50.97974314
2018,Labour inputs,Normal value,Units,Index,51.19114952
2019,Labour inputs,Normal value,Units,Index,51.45861885
2020,Labour inputs,Normal value,Units,Index,51.05408753
2021,Labour inputs,Normal value,Units,Index,51.00585678
1973,All inputs,Normal value,Units,Index,100
1974,All inputs,Normal value,Units,Index,97.0244614
1975,All inputs,Normal value,Units,Index,96.74653066
1976,All inputs,Normal value,Units,Index,98.27180763
1977,All inputs,Normal value,Units,Index,97.92577039
1978,All inputs,Normal value,Units,Index,98.422311820000004
1979,All inputs,Normal value,Units,Index,100.4601041
1980,All inputs,Normal value,Units,Index,98.63383158
1981,All inputs,Normal value,Units,Index,96.88154554
1982,All inputs,Normal value,Units,Index,100.5875386
1983,All inputs,Normal value,Units,Index,101.9084881
1984,All inputs,Normal value,Units,Index,100.7585204
1985,All inputs,Normal value,Units,Index,101.406101
1986,All inputs,Normal value,Units,Index,101.91924
1987,All inputs,Normal value,Units,Index,101.7280737
1988,All inputs,Normal value,Units,Index,102.1954879
1989,All inputs,Normal value,Units,Index,100.5903349
1990,All inputs,Normal value,Units,Index,99.55260489
1991,All inputs,Normal value,Units,Index,98.89239521
1992,All inputs,Normal value,Units,Index,98.0543053
1993,All inputs,Normal value,Units,Index,97.97837685
1994,All inputs,Normal value,Units,Index,98.84047066
1995,All inputs,Normal value,Units,Index,100.094313
1996,All inputs,Normal value,Units,Index,99.93217336
1997,All inputs,Normal value,Units,Index,98.80598173
1998,All inputs,Normal value,Units,Index,96.27478808
1999,All inputs,Normal value,Units,Index,93.69254653
2000,All inputs,Normal value,Units,Index,88.88553856
2001,All inputs,Normal value,Units,Index,87.2575361
2002,All inputs,Normal value,Units,Index,85.3287827
2003,All inputs,Normal value,Units,Index,84.33118265
2004,All inputs,Normal value,Units,Index,84.70528472
2005,All inputs,Normal value,Units,Index,83.21997061
2006,All inputs,Normal value,Units,Index,81.77042976
2007,All inputs,Normal value,Units,Index,82.33536007
2008,All inputs,Normal value,Units,Index,82.58114833
2009,All inputs,Normal value,Units,Index,82.99042942
2010,All inputs,Normal value,Units,Index,84.42642528
2011,All inputs,Normal value,Units,Index,84.30000284
2012,All inputs,Normal value,Units,Index,84.36079849
2013,All inputs,Normal value,Units,Index,85.60769634
2014,All inputs,Normal value,Units,Index,86.43527147
2015,All inputs,Normal value,Units,Index,87.4094325
2016,All inputs,Normal value,Units,Index,87.78283778
2017,All inputs,Normal value,Units,Index,88.08479239
2018,All inputs,Normal value,Units,Index,86.80653023
2019,All inputs,Normal value,Units,Index,87.09313154
2020,All inputs,Normal value,Units,Index,86.34180762
2021,All inputs,Normal value,Units,Index,86.07072295
