"Year","Country","Region","Sex","Sector","Observation status","Unit multiplier","Unit measure","GeoCode","Value"
"2015","","","","","Undefined","Units","Percentage (%)","","0.387003110305845"
"2015","","","Male","","Undefined","Units","Percentage (%)","","0.314488879238984"
"2015","","","Female","","Undefined","Units","Percentage (%)","","0.469715689851515"
"2015","","","","Agriculture","Undefined","Units","Percentage (%)","","3.496059273917"
"2015","","","","Non-Agriculture","Undefined","Units","Percentage (%)","","0.350882154356145"
"2015","","","Male","Agriculture","Undefined","Units","Percentage (%)","","2.69278878989494"
"2015","","","Female","Agriculture","Undefined","Units","Percentage (%)","","5.6962690488702"
"2015","","","Male","Non-Agriculture","Undefined","Units","Percentage (%)","","0.276336035551043"
"2015","","","Female","Non-Agriculture","Undefined","Units","Percentage (%)","","0.435123748206258"
"2015","England","","","","Undefined","Units","Percentage (%)","E92000001","0.367124366817772"
"2015","Northern Ireland","","","","Undefined","Units","Percentage (%)","N92000002","0.770476797634492"
"2015","Scotland","","","","Undefined","Units","Percentage (%)","S92000003","0.406663813567459"
"2015","Wales","","","","Undefined","Units","Percentage (%)","W92000004","0.503115674126765"
"2015","","North East","","","Undefined","Units","Percentage (%)","E12000001","0.27754008769478"
"2015","","North West","","","Undefined","Units","Percentage (%)","E12000002","0.316510522490516"
"2015","","Yorkshire and The Humber","","","Undefined","Units","Percentage (%)","E12000003","0.326176034758146"
"2015","","East Midlands","","","Undefined","Units","Percentage (%)","E12000004","0.436938352347159"
"2015","","West Midlands","","","Undefined","Units","Percentage (%)","E12000005","0.339965422386506"
"2015","","East","","","Undefined","Units","Percentage (%)","E12000006","0.369033161855278"
"2015","","London","","","Undefined","Units","Percentage (%)","E12000007","0.306117523415211"
"2015","","South East","","","Undefined","Units","Percentage (%)","E12000008","0.392178992259762"
"2015","","South West","","","Undefined","Units","Percentage (%)","E12000009","0.531645797311304"
"2015","England","","Male","","Undefined","Units","Percentage (%)","E92000001","0.292401933408172"
"2015","England","","Female","","Undefined","Units","Percentage (%)","E92000001","0.453183998712765"
"2015","Northern Ireland","","Male","","Undefined","Units","Percentage (%)","N92000002","0.786144550356874"
"2015","Northern Ireland","","Female","","Undefined","Units","Percentage (%)","N92000002","0.752484745130433"
"2015","Scotland","","Male","","Undefined","Units","Percentage (%)","S92000003","0.340148717243496"
"2015","Scotland","","Female","","Undefined","Units","Percentage (%)","S92000003","0.476341316659928"
"2015","Wales","","Female","","Undefined","Units","Percentage (%)","W92000004","0.601700795435394"
"2015","Wales","","Male","","Undefined","Units","Percentage (%)","W92000004","0.414206530907338"
"2015","England","","","Non-Agriculture","Undefined","Units","Percentage (%)","E92000001","0.341933945535022"
"2015","England","","","Agriculture","Undefined","Units","Percentage (%)","E92000001","2.89444384307297"
"2015","Northern Ireland","","","Non-Agriculture","Undefined","Units","Percentage (%)","N92000002","0.590653305339962"
"2015","Northern Ireland","","","Agriculture","Undefined","Units","Percentage (%)","N92000002","6.25561677021061"
"2015","Scotland","","","Non-Agriculture","Undefined","Units","Percentage (%)","S92000003","0.36649731364259"
"2015","Scotland","","","Agriculture","Undefined","Units","Percentage (%)","S92000003","2.98446961060019"
"2015","Wales","","","Non-Agriculture","Undefined","Units","Percentage (%)","W92000004","0.354925363234714"
"2015","Wales","","","Agriculture","Undefined","Units","Percentage (%)","W92000004","6.77902621722846"
"2015","","North East","","Non-Agriculture","Undefined","Units","Percentage (%)","E12000001","0.27132195286073"
"2015","","North West","","Non-Agriculture","Undefined","Units","Percentage (%)","E12000002","0.303586394731771"
"2015","","Yorkshire and The Humber","","Non-Agriculture","Undefined","Units","Percentage (%)","E12000003","0.304833085249302"
"2015","","Yorkshire and The Humber","","Agriculture","Undefined","Units","Percentage (%)","E12000003","2.04804785280062"
"2015","","East Midlands","","Non-Agriculture","Undefined","Units","Percentage (%)","E12000004","0.441884414400715"
"2015","","West Midlands","","Non-Agriculture","Undefined","Units","Percentage (%)","E12000005","0.280704262525844"
"2015","","West Midlands","","Agriculture","Undefined","Units","Percentage (%)","E12000005","4.60911637382226"
"2015","","East","","Non-Agriculture","Undefined","Units","Percentage (%)","E12000006","0.328474381740589"
"2015","","East","","Agriculture","Undefined","Units","Percentage (%)","E12000006","3.45984158518022"
"2015","","London","","Non-Agriculture","Undefined","Units","Percentage (%)","E12000007","0.306411583965384"
"2015","","South East","","Non-Agriculture","Undefined","Units","Percentage (%)","E12000008","0.362868057523645"
"2015","","South East","","Agriculture","Undefined","Units","Percentage (%)","E12000008","3.54149770208164"
"2015","","South West","","Non-Agriculture","Undefined","Units","Percentage (%)","E12000009","0.470770550593549"
"2015","","South West","","Agriculture","Undefined","Units","Percentage (%)","E12000009","4.20962990241208"
