"Year","Country income classification","Observation status","Unit multiplier","Units","Value"
2010,"","Definition differs","Thousands","GBP (£ thousands)",445.624
2011,"","Definition differs","Thousands","GBP (£ thousands)",3456.13229
2012,"","Definition differs","Thousands","GBP (£ thousands)",1529.82272
2013,"","Definition differs","Thousands","GBP (£ thousands)",1466.8589
2014,"","Definition differs","Thousands","GBP (£ thousands)",18394.48069
2015,"","Definition differs","Thousands","GBP (£ thousands)",606.26838
2016,"","Definition differs","Thousands","GBP (£ thousands)",12669.492
2017,"","Definition differs","Thousands","GBP (£ thousands)",3176.48174
2018,"","Definition differs","Thousands","GBP (£ thousands)",12750.318394
2019,"","Definition differs","Thousands","GBP (£ thousands)",2860.057559
2020,"","Definition differs","Thousands","GBP (£ thousands)",3081.081341
2010,"LDCs","Definition differs","Thousands","GBP (£ thousands)",350
2012,"LDCs","Definition differs","Thousands","GBP (£ thousands)",239.53929
2013,"LDCs","Definition differs","Thousands","GBP (£ thousands)",1197.6139
2015,"LDCs","Definition differs","Thousands","GBP (£ thousands)",606.26838
2018,"LDCs","Definition differs","Thousands","GBP (£ thousands)",1026.689394
2019,"LDCs","Definition differs","Thousands","GBP (£ thousands)",2277.666105
2020,"LDCs","Definition differs","Thousands","GBP (£ thousands)",24.277016
2017,"LMICs","Definition differs","Thousands","GBP (£ thousands)",1837.53936
2018,"LMICs","Definition differs","Thousands","GBP (£ thousands)",23.629
2019,"LMICs","Definition differs","Thousands","GBP (£ thousands)",78.181736
2020,"LMICs","Definition differs","Thousands","GBP (£ thousands)",801.421295
2010,"Other LICs","Definition differs","Thousands","GBP (£ thousands)",95.624
2012,"UMICs","Definition differs","Thousands","GBP (£ thousands)",-37.19853
2017,"UMICs","Definition differs","Thousands","GBP (£ thousands)",979.03138
2019,"UMICs","Definition differs","Thousands","GBP (£ thousands)",504.209718
2011,"Unspecified","Definition differs","Thousands","GBP (£ thousands)",3456.13229
2012,"Unspecified","Definition differs","Thousands","GBP (£ thousands)",1327.48196
2013,"Unspecified","Definition differs","Thousands","GBP (£ thousands)",269.245
2014,"Unspecified","Definition differs","Thousands","GBP (£ thousands)",18394.48069
2016,"Unspecified","Definition differs","Thousands","GBP (£ thousands)",12669.492
2017,"Unspecified","Definition differs","Thousands","GBP (£ thousands)",359.911
2018,"Unspecified","Definition differs","Thousands","GBP (£ thousands)",11700
2020,"Unspecified","Definition differs","Thousands","GBP (£ thousands)",2255.38303
